NOMBRE,CARTEGORIA,FECHA
Ministerio de Cultura inicia temporada de Talleres de Arte 2016,Talleres y especialización,"Diciembre 07, 2015"
IV Congreso Pedagógico Internacional ‘La Ciudad en el Aula’ se realizará este 27 y 28 de noviembre,Talleres y especialización,"Noviembre 09, 2015"
"“Emprende Música” clases maestras, experiencias prácticas y herramientas para gestionar empresas orientadas a la música. Este 28 de noviembre","Conferencias y ponencias, Talleres y especialización","Noviembre 47, 2015"
TALLERES DEL MAL PARA EL BIEN en Espacio Los ÚNICOS.,Talleres y especialización,"Noviembre 35, 2015"
[CUSCO] Taller Fotográfico La Caja Negra. Del 19 al 22 de noviembre 2015,Talleres y especialización,"Noviembre 07, 2015"
[Festival de Danza] Conozca la programación de los talleres y presentación del festival INDISCIPLINADOS,"Festivales, Formación, Talleres y especialización","Octubre 16, 2015"
ICPNA: Encuentro Internacional de Narradores Orales 2015 “BENDITA SEA LA PALABRA”,"Formación, Oportunidades y recursos, Talleres y especialización","Octubre 36, 2015"
III Taller de máscaras de Paucartambo en Lima dictado por el maestro Víctor Salcedo. Del 18 al 29 de noviembre,"Formación, Talleres y especialización","Octubre 52, 2015"
Escuela Internacional de Cine y Televisión apertura  Talleres Internacionales 2015 & 2016 [Fonalizó],"Formación, Oportunidades y recursos, Oportunidades y recursos, Talleres y especialización","Septiembre 17, 2015"
TALLER DE IMPRO “REGALOS PARA INSPIRAR AL COMPAÑERO” CON PATTI STILES,"Formación, Oportunidades y recursos, Talleres y especialización","Septiembre 18, 2015"
Ministerio de Cultura anuncia resultados de las convocatorias lanzadas en el marco del Seminario CONECTA 2015,"Formación, Talleres y especialización","Septiembre 36, 2015"
Curso de interpretación para actores y actrices con Roberto Castón  [Setiembre 2015],"Formación, Talleres y especialización","Septiembre 29, 2015"
Ya llega en octubre el II ENCUENTRO LATINOAMERICANO DE CINE COMUNITARIO organizado por Grupo Chaski,"Conferencias y ponencias, Talleres y especialización","Septiembre 01, 2015"
SEMINARIO “CREAR PARA LA ESCENA”,"Herramientas de autoformación, Talleres y especialización","Septiembre 11, 2015"
Taller ‘‘Crea y Emprende: Artes Escénicas’’. Este 27 y 28 de agosto,Talleres y especialización,"Agosto 11, 2015"
Ministerio de Cultura te invita a participar en el Seminario CONECTA 2015. ¡Participa ahora!,"Formación, Talleres y especialización","Agosto 02, 2015"
SEMINARIO “CREAR PARA LA ESCENA”. Lista de inscritos que participarán en el seminario.,"Oportunidades y recursos, Talleres y especialización","Agosto 40, 2015"
[ESPACIO IDEA]  Postula a la ayuda a la movilidad hasta el 13 de septiembre,"Formación, Talleres y especialización","Agosto 06, 2015"
